dataset,method,coverage,width_mean,winkler_score,rho_all,p_all,rho_extreme,p_extreme,rho_normal,p_normal
uci,rolling_conformal,0.9035148975791434,76.66358093808152,107.6699076680047,0.16621710445021978,2.8353207919082064e-54,0.04441638469280121,0.18905626769905842,0.1609963178079384,5.743458812252316e-46
gefcom,rolling_conformal,0.9067737430167597,18.184167549839366,23.301468234849825,0.3177719463006918,7.478137116511037e-201,0.42431768974044765,7.269893520693345e-38,0.29834394577441364,3.294462699797863e-159
