grid,pct,proxy,n_extreme,rho,pval,significant
gefcom,80,P2,1722,0.0184,0.446484,False
gefcom,80,P3,1722,0.4207,0.0,True
gefcom,81,P1,1636,0.494,0.0,True
gefcom,81,P2,1636,0.02,0.418789,False
gefcom,81,P3,1636,0.4229,0.0,True
gefcom,82,P1,1547,0.5053,0.0,True
gefcom,82,P2,1547,0.0224,0.379122,False
gefcom,82,P3,1547,0.4291,0.0,True
gefcom,83,P1,1462,0.5026,0.0,True
gefcom,83,P2,1462,0.0188,0.472791,False
gefcom,83,P3,1462,0.439,0.0,True
gefcom,84,P1,1377,0.4957,0.0,True
gefcom,84,P2,1377,0.0175,0.515613,False
gefcom,84,P3,1377,0.4425,0.0,True
gefcom,85,P1,1289,0.4849,0.0,True
gefcom,85,P2,1289,0.0284,0.308817,False
gefcom,85,P3,1289,0.4405,0.0,True
gefcom,86,P1,1203,0.4862,0.0,True
gefcom,86,P2,1203,0.0275,0.341181,False
gefcom,86,P3,1203,0.4356,0.0,True
gefcom,87,P1,1117,0.4826,0.0,True
gefcom,87,P2,1117,0.014,0.63943,False
gefcom,87,P3,1117,0.4489,0.0,True
gefcom,88,P1,1035,0.478,0.0,True
gefcom,88,P2,1035,0.02,0.520147,False
gefcom,88,P3,1035,0.4512,0.0,True
gefcom,89,P1,949,0.4796,0.0,True
gefcom,89,P2,949,0.0301,0.354884,False
gefcom,89,P3,949,0.4551,0.0,True
gefcom,90,P1,836,0.4815,0.0,True
gefcom,90,P2,836,0.0182,0.599631,False
gefcom,90,P3,836,0.4554,0.0,True
gefcom,91,P1,775,0.4824,0.0,True
gefcom,91,P2,775,0.0059,0.868964,False
gefcom,91,P3,775,0.4629,0.0,True
gefcom,92,P1,689,0.4677,0.0,True
gefcom,92,P2,689,0.0065,0.864262,False
gefcom,92,P3,689,0.4775,0.0,True
gefcom,93,P1,602,0.4471,0.0,True
gefcom,93,P2,602,-0.004,0.921168,False
gefcom,93,P3,602,0.476,0.0,True
gefcom,94,P1,517,0.4543,0.0,True
gefcom,94,P2,517,-0.0141,0.748928,False
gefcom,94,P3,517,0.4846,0.0,True
gefcom,95,P1,430,0.4232,0.0,True
gefcom,95,P2,430,-0.0047,0.922567,False
gefcom,95,P3,430,0.4838,0.0,True
gefcom,96,P1,345,0.4035,0.0,True
gefcom,96,P2,345,-0.0039,0.942164,False
gefcom,96,P3,345,0.4633,0.0,True
gefcom,97,P1,260,0.3481,0.0,True
gefcom,97,P2,260,0.0105,0.865844,False
gefcom,97,P3,260,0.4061,0.0,True
gefcom,98,P1,174,0.2661,0.000387,True
gefcom,98,P2,174,0.0399,0.601176,False
gefcom,98,P3,174,0.4354,0.0,True
