dataset,lstm_mae_all,lstm_mae_extreme,lstm_mae_normal,lstm_rmse_all,lstm_rmse_extreme,lstm_mape_all,lstm_rmse_mae_ratio,arima_mae_all,arima_mae_extreme,arima_rmse_all,n_extreme,n_normal,n_zero_load_skipped_mape,n_anomalous,n_anomalous_extreme_overlap,P1_ensemble_var_rho_all,P1_ensemble_var_p_all,P1_ensemble_var_sig_all,P1_ensemble_var_rho_extreme,P1_ensemble_var_p_extreme,P1_ensemble_var_sig_extreme,P1_ensemble_var_rho_normal,P1_ensemble_var_p_normal,P1_ensemble_var_sig_normal,P1_ensemble_var_mw_p,P1_ensemble_var_or_overall,P1_ensemble_var_or_extreme,P1_ensemble_var_n_dangerous,P1_ensemble_var_n_warned,P1_ensemble_var_rate_safe_correct,P1_ensemble_var_rate_dangerous,P1_ensemble_var_rate_cautious,P1_ensemble_var_rate_warned,P1_ensemble_var_fisher_p,P1_ensemble_var_binom_p,P1_ensemble_var_sens_or_overall,P1_ensemble_var_sens_or_extreme,P1_ensemble_var_sens_binom_p,P1_ensemble_var_winkler_score,P1_ensemble_var_ece_mean,P2_pi_width_rho_all,P2_pi_width_p_all,P2_pi_width_sig_all,P2_pi_width_rho_extreme,P2_pi_width_p_extreme,P2_pi_width_sig_extreme,P2_pi_width_rho_normal,P2_pi_width_p_normal,P2_pi_width_sig_normal,P2_pi_width_mw_p,P2_pi_width_or_overall,P2_pi_width_or_extreme,P2_pi_width_n_dangerous,P2_pi_width_n_warned,P2_pi_width_rate_safe_correct,P2_pi_width_rate_dangerous,P2_pi_width_rate_cautious,P2_pi_width_rate_warned,P2_pi_width_fisher_p,P2_pi_width_binom_p,P2_pi_width_sens_or_overall,P2_pi_width_sens_or_extreme,P2_pi_width_sens_binom_p,P2_pi_width_winkler_score,P2_pi_width_ece_mean,P3_resid_vol_rho_all,P3_resid_vol_p_all,P3_resid_vol_sig_all,P3_resid_vol_rho_extreme,P3_resid_vol_p_extreme,P3_resid_vol_sig_extreme,P3_resid_vol_rho_normal,P3_resid_vol_p_normal,P3_resid_vol_sig_normal,P3_resid_vol_mw_p,P3_resid_vol_or_overall,P3_resid_vol_or_extreme,P3_resid_vol_n_dangerous,P3_resid_vol_n_warned,P3_resid_vol_rate_safe_correct,P3_resid_vol_rate_dangerous,P3_resid_vol_rate_cautious,P3_resid_vol_rate_warned,P3_resid_vol_fisher_p,P3_resid_vol_binom_p,P3_resid_vol_sens_or_overall,P3_resid_vol_sens_or_extreme,P3_resid_vol_sens_binom_p,P3_resid_vol_winkler_score,P3_resid_vol_ece_mean,conformal_winkler_score,friedman_stat,friedman_p,threshold_pct,threshold_value,P1_rho_all_95,P1_p_all_95,P1_sig_all_95,P1_rho_extreme_95,P1_p_extreme_95,P1_sig_extreme_95,P1_or_all_95,P1_or_extreme_95,P2_rho_all_95,P2_p_all_95,P2_sig_all_95,P2_rho_extreme_95,P2_p_extreme_95,P2_sig_extreme_95,P2_or_all_95,P2_or_extreme_95,P3_rho_all_95,P3_p_all_95,P3_sig_all_95,P3_rho_extreme_95,P3_p_extreme_95,P3_sig_extreme_95,P3_or_all_95,P3_or_extreme_95
uci,17.3141,21.3164,16.8597,25.2803,28.4474,5.2166,1.4601,14.1386,20.4361,,876,7716,0.0,7.0,4.0,0.1893,0.0,True,0.0089,0.792935,False,0.1756,0.0,True,0.0,0.0914,0.0114,785.0,1363.0,0.4086,0.0914,0.3414,0.1586,0.0,1.0,0.0106,0.0,1.0,202.6498,17.3115,0.0477,1e-05,True,-0.0543,0.10856,False,0.0569,1e-06,True,0.000369,0.0425,0.0525,365.0,1783.0,0.1555,0.0425,0.5945,0.2075,0.000154,0.085703,0.0165,0.0228,0.095896,171.4659,17.1283,0.1754,0.0,True,0.044,0.193296,False,0.1719,0.0,True,0.0,0.0935,0.0616,803.0,1345.0,0.4065,0.0935,0.3435,0.1565,0.0,0.999748,0.0079,0.0057,0.821897,220.0946,17.3157,166.155,7099.3468,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
gefcom,3.6763,5.4174,3.4887,9.8097,12.046,2.3616,2.6683,5.7439,6.0825,,836,7756,0.0,403.0,81.0,0.4396,0.0,True,0.4815,0.0,True,0.4217,0.0,True,0.0,0.0534,0.0179,459.0,1689.0,0.4466,0.0534,0.3034,0.1966,0.0,1.0,0.0013,0.0,1.0,55.1499,3.6704,0.1551,0.0,True,0.0182,0.599631,False,0.1581,0.0,True,0.0,0.0676,0.1029,581.0,1567.0,0.2839,0.0676,0.4661,0.1824,0.0,9e-05,0.0034,0.0084,0.025081,97.4419,3.3985,0.3338,0.0,True,0.4554,0.0,True,0.3151,0.0,True,0.0,0.0729,0.0861,626.0,1522.0,0.4271,0.0729,0.3229,0.1771,0.0,0.081876,0.0047,0.0048,0.545567,45.9661,3.6736,75.3455,11160.3145,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
uci_95,,,,,,,,,,,430,8162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,1486.8287,0.1893,0.0,True,-0.1103,0.022107,False,0.0914,0.1326,0.0477,1e-05,True,-0.0863,0.073908,False,0.0425,0.0349,0.1754,0.0,True,0.0945,0.050294,False,0.0935,0.1
gefcom_95,,,,,,,,,,,430,8162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,257.99,0.4396,0.0,True,0.4232,0.0,True,0.0534,0.0628,0.1551,0.0,True,-0.0047,0.922567,False,0.0676,0.0372,0.3338,0.0,True,0.4838,0.0,True,0.0729,0.0442
